aX,aY,aZ,gX,gY,gZ
-1.093,-1.841,-1.932,-29.968,57.983,-39.429
-1.081,-1.842,-2.089,-28.564,33.508,-19.897
-1.055,-1.629,-2.278,-31.372,13.489,-0.610
-1.028,-1.340,-2.415,-35.522,-9.399,16.296
-0.991,-0.962,-2.459,-37.720,-38.940,30.029
-0.952,-0.520,-2.455,-36.682,-67.505,40.466
-0.922,-0.111,-2.439,-33.569,-94.849,45.288
-0.890,0.225,-2.387,-28.381,-123.108,44.373
-0.875,0.536,-2.288,-18.799,-152.100,39.429
-0.885,0.800,-2.127,-4.333,-182.007,30.823
-0.891,0.953,-1.853,10.193,-213.013,17.944
-0.887,1.022,-1.528,20.752,-241.394,2.502
-0.848,1.057,-1.173,33.325,-267.517,-12.329
-0.719,0.913,-0.596,46.997,-294.067,-28.992
-0.520,0.452,0.059,56.335,-315.674,-45.044
-0.302,-0.096,0.996,58.838,-346.375,-57.739
0.065,-0.450,2.719,56.396,-383.240,-58.899
0.445,-0.587,3.963,46.021,-349.915,-53.772
0.893,-0.589,4.000,36.560,-317.871,-46.082
1.349,-0.419,4.000,25.330,-265.259,-35.217
1.732,-0.212,4.000,12.390,-215.759,-26.123
2.018,-0.112,4.000,-2.380,-159.363,-20.508
2.103,0.142,4.000,-23.926,-90.088,-15.503
2.049,0.523,4.000,-27.039,-17.456,-10.559
1.835,0.849,4.000,-23.560,61.218,-10.315
1.516,0.831,4.000,-14.221,136.414,-13.916
1.098,0.646,4.000,-8.423,200.195,-18.311
0.653,0.512,4.000,-10.986,247.131,-21.606
0.272,0.449,3.179,-20.325,280.518,-23.743
-0.047,0.454,2.069,-29.907,297.974,-24.597
-0.307,0.510,1.307,-38.147,308.655,-26.184
-0.565,0.664,0.493,-44.861,324.158,-27.954
-0.767,0.775,0.205,-50.232,301.697,-32.471
-0.974,0.868,-0.252,-51.025,287.048,-39.612
-1.147,0.837,-0.641,-46.448,276.672,-49.194
-1.272,0.712,-1.078,-39.734,262.939,-59.937
-1.348,0.446,-1.541,-35.522,252.014,-70.862
-1.370,-0.085,-1.936,-29.053,230.652,-80.933
-1.367,-0.649,-2.203,-19.653,198.853,-84.351
-1.370,-1.143,-2.310,-12.390,166.626,-79.651
-1.350,-1.510,-2.230,-11.414,130.066,-68.115
-1.342,-1.721,-2.198,-19.775,103.638,-51.758
-1.284,-1.719,-2.271,-31.921,81.970,-32.471
-1.219,-1.542,-2.449,-47.546,60.425,-13.306
-1.121,-1.181,-2.582,-58.167,36.987,3.052
-1.020,-0.765,-2.732,-63.965,11.414,16.174
-0.918,-0.355,-2.871,-60.913,-16.541,24.841
-0.819,0.079,-2.819,-53.711,-49.438,28.076
-0.752,0.421,-2.617,-45.959,-84.717,25.940
-0.673,0.644,-2.361,-41.504,-117.737,19.226
-0.566,0.880,-1.978,-33.813,-149.109,10.925
-0.468,1.062,-1.472,-25.391,-179.077,0.122
-0.338,1.001,-0.933,-18.738,-204.956,-13.306
-0.168,0.771,-0.419,-11.047,-224.426,-26.733
-0.032,0.282,0.137,-4.028,-241.394,-38.452
0.083,-0.292,0.934,0.977,-270.081,-46.448
0.265,-0.586,2.193,8.789,-294.495,-42.908
