aX,aY,aZ,gX,gY,gZ
0.501,2.989,-0.161,-95.947,4.028,-146.729
0.359,2.761,-0.485,-101.440,-1.831,-174.133
0.180,2.198,-0.599,-105.896,-14.771,-202.637
0.001,1.440,-0.450,-107.361,-33.508,-226.501
-0.145,0.643,-0.247,-107.971,-48.523,-240.295
-0.232,-0.183,-0.045,-105.774,-61.707,-245.667
-0.265,-1.047,0.253,-105.164,-74.768,-242.737
-0.252,-1.837,0.563,-103.333,-84.473,-230.042
-0.173,-2.375,0.987,-91.736,-91.370,-206.726
-0.086,-2.565,1.484,-79.712,-92.590,-175.842
0.010,-2.594,2.083,-78.796,-91.248,-145.447
0.127,-2.470,2.627,-80.688,-82.214,-115.723
0.235,-2.180,2.862,-79.956,-58.716,-88.196
0.345,-1.776,2.761,-78.125,-27.893,-65.491
0.449,-1.357,2.380,-79.285,-1.526,-48.889
0.539,-1.014,1.848,-78.491,19.592,-37.170
0.614,-0.825,1.367,-75.745,31.921,-32.227
0.665,-0.783,0.964,-71.167,37.109,-30.396
0.710,-0.859,0.610,-63.904,38.147,-28.870
0.744,-0.975,0.319,-55.420,34.790,-26.062
0.771,-1.000,0.124,-46.509,27.649,-20.630
0.775,-0.958,0.141,-39.185,16.785,-14.099
0.774,-0.809,0.195,-32.104,7.812,-7.874
0.778,-0.647,0.242,-25.635,1.770,-2.686
0.769,-0.523,0.344,-19.775,-3.418,0.977
0.769,-0.478,0.461,-15.808,-5.981,3.540
0.770,-0.396,0.563,-11.963,-7.385,5.798
0.777,-0.285,0.611,-9.216,-6.531,7.751
0.797,-0.195,0.576,-8.118,-5.066,8.728
0.814,-0.140,0.561,-7.690,-4.150,8.362
0.828,-0.118,0.535,-7.874,-3.418,7.385
0.838,-0.107,0.463,-6.714,-2.625,6.836
0.853,-0.122,0.381,-5.188,-2.808,6.104
0.864,-0.111,0.347,-2.686,-4.700,5.798
0.869,-0.059,0.364,1.038,-6.897,5.920
0.878,-0.026,0.407,3.967,-9.521,5.676
0.880,0.005,0.496,6.836,-12.329,4.883
0.882,0.055,0.573,8.850,-13.245,3.967
0.885,0.122,0.631,9.644,-12.695,2.747
1.463,-0.278,1.512,2.930,0.244,11.353
1.530,-0.227,1.774,9.033,5.920,14.832
1.587,-0.107,2.050,16.907,13.306,18.005
1.564,0.049,2.360,24.109,22.217,20.386
1.510,0.253,2.671,30.334,32.104,21.484
1.421,0.436,2.882,32.104,50.110,20.508
1.294,0.572,2.941,28.015,75.317,16.541
1.129,0.654,2.876,22.400,102.600,11.047
0.940,0.606,2.617,15.015,129.272,4.944
0.761,0.505,2.123,6.165,155.762,-0.732
0.622,0.511,1.434,-4.700,180.115,-4.395
0.490,0.553,0.763,-16.541,197.327,-8.301
0.414,0.597,-0.038,-24.109,209.656,-12.756
0.385,0.564,-0.612,-26.245,198.975,-19.714
0.357,0.525,-1.094,-25.635,188.171,-25.757
0.339,0.425,-1.323,-19.165,166.138,-31.982
0.314,0.284,-1.411,-11.780,142.273,-36.987
0.296,0.115,-1.323,-3.662,117.432,-40.405
0.261,-0.036,-1.169,2.686,95.764,-41.077
0.239,-0.137,-1.030,5.188,79.102,-40.100
0.228,-0.199,-0.891,4.700,65.308,-38.025
0.223,-0.250,-0.721,3.357,53.040,-35.645
0.224,-0.288,-0.602,0.793,43.945,-32.959
0.243,-0.336,-0.526,-1.892,37.231,-30.273
0.278,-0.413,-0.480,-4.761,31.250,-27.405
0.309,-0.500,-0.383,-7.812,24.902,-24.109
0.346,-0.521,-0.311,-10.315,20.264,-19.653
0.369,-0.499,-0.243,-10.620,16.296,-14.648
0.394,-0.486,-0.219,-10.864,12.634,-10.254
0.428,-0.441,-0.272,-11.292,10.010,-6.287
0.457,-0.358,-0.373,-10.437,6.226,-3.174
0.472,-0.309,-0.445,-7.263,0.000,-0.671
0.482,-0.362,-0.421,-3.601,-7.874,0.977
0.481,-0.466,-0.371,0.549,-16.479,2.808
0.476,-0.541,-0.294,4.578,-24.658,5.798
0.466,-0.610,-0.130,8.179,-33.203,9.583
0.453,-0.691,0.106,11.536,-40.771,13.489
0.438,-0.829,0.354,13.672,-44.922,17.944
0.431,-0.983,0.513,14.893,-44.495,24.170
0.424,-1.078,0.560,16.602,-41.809,32.532
0.420,-1.103,0.517,18.677,-38.452,42.908
0.414,-1.086,0.478,21.240,-37.415,53.162
0.404,-1.015,0.454,24.719,-37.842,63.049
0.394,-0.905,0.453,29.663,-39.429,72.021
0.378,-0.829,0.481,36.011,-41.931,79.285
0.365,-0.825,0.480,43.701,-44.373,85.510
0.355,-0.880,0.447,51.636,-46.692,91.370
