aX,aY,aZ,gX,gY,gZ
0.610,0.506,0.076,-21.851,43.335,-28.198
0.598,0.465,0.091,-23.560,40.100,-29.297
0.586,0.515,0.138,-26.611,36.438,-30.273
0.583,0.605,0.200,-27.466,33.752,-31.433
0.570,0.670,0.246,-27.649,31.494,-34.058
0.559,0.640,0.269,-28.320,30.151,-37.354
0.554,0.590,0.265,-28.564,29.175,-40.710
0.532,0.524,0.245,-29.968,28.259,-44.067
0.524,0.420,0.219,-32.043,27.222,-46.814
0.510,0.300,0.178,-34.302,26.306,-48.340
0.500,0.206,0.133,-35.645,24.658,-48.950
0.493,0.138,0.111,-36.926,22.217,-48.340
0.491,0.083,0.085,-38.025,19.775,-46.875
0.486,0.078,0.052,-37.354,17.090,-44.861
0.487,0.104,0.030,-36.194,13.794,-42.358
0.493,0.145,0.021,-35.278,10.193,-40.649
0.490,0.163,0.023,-35.034,6.836,-39.673
0.490,0.178,0.016,-35.156,3.906,-39.124
