aX,aY,aZ,gX,gY,gZ
-0.318,-0.184,-0.346,-27.466,68.359,-75.989
-0.320,-0.044,-0.390,-35.828,63.538,-70.984
-0.318,0.118,-0.441,-45.471,58.655,-67.871
-0.309,0.245,-0.510,-52.551,53.589,-66.956
-0.290,0.320,-0.646,-56.213,47.974,-67.993
-0.259,0.336,-0.833,-58.594,42.114,-70.435
-0.243,0.320,-1.037,-59.570,34.241,-73.914
-0.210,0.233,-1.239,-57.922,25.085,-76.843
-0.197,0.158,-1.398,-57.373,9.277,-79.590
-0.178,0.099,-1.513,-56.519,-6.775,-80.688
-0.176,0.023,-1.532,-56.763,-26.978,-81.909
-0.182,-0.096,-1.515,-56.702,-46.692,-82.764
-0.194,-0.220,-1.527,-58.960,-64.209,-82.275
-0.203,-0.406,-1.533,-61.584,-81.543,-81.055
-0.218,-0.578,-1.464,-67.505,-100.098,-77.881
-0.215,-0.642,-1.310,-75.195,-119.690,-71.960
-0.212,-0.648,-1.106,-80.933,-137.512,-64.819
-0.211,-0.735,-0.853,-85.815,-154.419,-59.265
-0.206,-0.908,-0.532,-86.365,-170.166,-53.955
-0.195,-1.111,-0.184,-81.970,-182.739,-47.241
-0.178,-1.344,0.206,-75.317,-194.092,-39.673
-0.160,-1.586,0.566,-68.176,-201.416,-30.334
-0.091,-1.840,0.938,-60.852,-209.351,-19.409
0.016,-1.992,1.453,-53.650,-217.407,-6.226
0.131,-2.044,1.911,-42.603,-212.708,9.033
0.267,-2.079,2.417,-29.175,-208.069,23.804
0.420,-2.059,2.770,-13.794,-195.679,38.391
0.555,-2.062,3.051,3.052,-179.504,52.673
0.696,-2.097,3.269,16.846,-163.513,65.796
0.815,-2.112,3.463,26.428,-143.738,79.834
0.923,-2.024,3.611,31.616,-121.948,95.764
1.011,-1.835,3.758,33.569,-96.619,112.793
1.082,-1.551,3.921,32.043,-70.740,128.845
1.117,-1.162,4.000,29.846,-44.556,144.348
1.112,-0.675,4.000,25.818,-16.479,158.447
1.074,-0.100,4.000,19.104,14.160,170.166
1.008,0.503,3.808,14.038,47.363,178.345
0.941,1.130,3.585,11.658,78.552,179.749
0.863,1.667,3.128,4.333,109.253,172.913
0.797,2.089,2.552,1.404,136.108,160.522
0.770,2.380,1.860,-1.038,160.095,142.700
0.764,2.514,1.187,2.380,176.147,122.437
0.731,2.505,0.453,3.174,190.125,99.792
0.720,2.380,0.066,-0.671,177.063,75.256
0.693,2.251,-0.405,0.977,170.105,53.772
0.669,2.050,-0.663,4.883,155.945,33.875
0.629,1.874,-0.864,8.423,139.099,16.785
0.583,1.747,-0.959,11.780,122.314,2.502
0.528,1.633,-0.996,13.733,103.516,-9.399
0.474,1.493,-0.965,13.611,85.938,-21.362
0.394,1.322,-0.877,12.817,69.458,-32.410
0.314,1.092,-0.789,11.475,55.176,-42.114
0.244,0.804,-0.666,9.399,42.603,-49.744
0.189,0.603,-0.653,6.714,33.630,-53.223
0.134,0.473,-0.687,3.601,24.292,-54.016
0.086,0.364,-0.704,-1.587,15.198,-53.711
0.033,0.235,-0.691,-9.277,5.127,-52.795
-0.012,0.112,-0.620,-18.250,-4.211,-50.781
-0.061,0.040,-0.510,-28.503,-12.024,-46.875
-0.086,0.045,-0.478,-38.879,-17.761,-42.053
-0.087,0.159,-0.549,-46.326,-22.339,-36.682
-0.077,0.321,-0.682,-51.453,-27.954,-32.532
-0.067,0.464,-0.806,-53.711,-36.133,-30.884
-0.037,0.571,-0.870,-56.274,-47.058,-31.189
-0.000,0.723,-0.926,-58.167,-58.594,-32.166
0.033,0.848,-0.950,-59.875,-71.655,-35.400
0.083,0.931,-0.917,-62.988,-85.815,-41.016
0.138,1.002,-0.897,-66.589,-100.037,-47.546
0.187,0.969,-0.875,-69.519,-114.746,-55.542
0.231,0.797,-0.786,-68.848,-131.165,-64.087
0.272,0.568,-0.529,-65.186,-149.841,-71.655
0.286,0.390,-0.091,-61.218,-168.335,-76.172
0.298,0.255,0.551,-56.641,-185.425,-78.857
0.312,0.096,1.356,-52.063,-198.059,-80.872
0.353,-0.076,2.257,-49.866,-205.811,-81.604
0.410,-0.255,3.051,-46.936,-200.256,-80.322
0.493,-0.446,3.789,-37.659,-183.167,-77.393
0.556,-0.700,4.000,-33.752,-148.682,-73.120
0.654,-0.938,4.000,-28.564,-102.417,-66.162
0.728,-1.108,3.840,-28.259,-61.401,-57.312
0.799,-1.216,3.180,-28.442,-25.208,-45.898
0.864,-1.224,2.504,-31.799,1.465,-33.569
0.902,-1.141,1.853,-34.668,20.874,-20.447
0.927,-1.023,1.359,-35.522,31.433,-9.277
0.930,-0.828,0.909,-33.752,41.870,0.366
0.952,-0.521,0.547,-29.602,40.771,9.399
1.441,-0.497,1.951,16.663,-68.909,34.851
1.568,-0.569,2.637,10.315,-66.345,42.542
1.643,-0.507,3.406,3.174,-65.613,53.467
1.655,-0.305,4.000,-1.892,-49.927,66.406
1.622,0.095,4.000,-6.104,-9.827,78.674
1.522,0.524,4.000,2.502,21.362,88.623
1.310,0.905,4.000,-7.202,57.434,90.881
1.057,1.394,4.000,-13.184,102.844,89.844
0.789,1.772,4.000,-18.188,147.461,83.740
0.553,1.874,3.989,-19.897,192.078,69.763
0.329,1.737,3.111,-21.851,228.638,53.284
0.150,1.568,2.175,-24.231,251.892,38.696
0.021,1.482,1.433,-27.527,265.625,26.367
-0.103,1.479,0.704,-30.823,281.677,15.442
-0.169,1.460,0.240,-34.058,274.963,3.784
-0.272,1.341,-0.062,-37.109,253.113,-8.301
-0.381,1.274,-0.268,-35.767,244.995,-18.433
-0.454,1.279,-0.531,-33.447,233.826,-26.978
-0.502,1.420,-0.843,-36.377,224.304,-35.278
-0.541,1.569,-1.183,-40.833,213.257,-46.265
-0.581,1.643,-1.519,-42.908,199.890,-60.242
-0.612,1.573,-1.637,-39.612,170.715,-77.759
-0.679,1.376,-1.664,-37.292,139.648,-94.055
-0.748,1.135,-1.571,-34.790,114.929,-108.215
-0.831,0.893,-1.409,-33.691,93.018,-118.835
-0.907,0.597,-1.362,-36.804,76.111,-127.197
-0.947,0.251,-1.374,-40.833,62.073,-132.507
-0.999,-0.104,-1.404,-47.729,48.401,-133.850
-0.987,-0.331,-1.363,-59.265,33.875,-131.165
-0.962,-0.723,-1.514,-73.914,22.156,-127.197
-0.976,-0.758,-1.695,-78.186,8.728,-116.516
-0.851,-0.710,-1.684,-92.896,-9.644,-105.225
-0.830,-0.815,-1.880,-97.656,-24.719,-97.839
-0.802,-0.827,-1.956,-94.849,-44.434,-88.135
-0.775,-0.855,-1.888,-93.262,-71.411,-80.627
-0.750,-0.943,-1.953,-86.914,-93.933,-72.693
-0.748,-1.033,-1.891,-76.660,-118.042,-65.613
-0.716,-1.178,-1.774,-73.853,-142.761,-59.631
-0.700,-1.585,-1.908,-68.604,-163.574,-53.528
-0.682,-1.840,-1.854,-52.612,-189.148,-42.908
-0.706,-2.175,-1.409,-42.419,-223.877,-30.151
-0.717,-2.519,-0.698,-34.485,-254.272,-15.991
-0.740,-2.903,0.258,-24.109,-282.715,-1.709
-0.687,-3.113,1.443,-11.658,-314.331,15.930
-0.589,-3.132,2.601,7.629,-318.054,42.358
-0.458,-3.041,3.561,24.597,-295.044,71.594
-0.257,-3.027,4.000,37.415,-280.518,95.825
-0.025,-2.948,4.000,42.725,-232.727,122.070
0.220,-2.736,4.000,34.973,-193.176,146.179
0.435,-2.349,4.000,26.794,-143.616,172.546
0.603,-1.752,4.000,16.602,-89.783,197.266
0.687,-0.995,4.000,7.019,-35.156,218.262
0.718,-0.131,4.000,0.122,20.691,235.657
