aX,aY,aZ,gX,gY,gZ
-1.036,-0.678,0.469,-56.519,101.563,-289.978
-1.172,-1.189,0.471,-56.519,96.802,-278.625
-1.286,-1.581,0.551,-61.096,92.224,-262.939
-1.361,-2.097,0.524,-79.163,91.614,-247.986
-1.412,-2.578,0.266,-92.712,95.154,-228.699
-1.408,-2.997,-0.207,-97.778,97.412,-204.712
-1.371,-3.457,-0.775,-103.394,97.168,-180.054
-1.241,-3.978,-1.468,-110.962,96.680,-153.870
-1.119,-4.000,-2.263,-118.042,92.102,-129.944
-1.007,-4.000,-2.959,-122.253,53.894,-92.407
-0.954,-4.000,-3.500,-98.755,4.517,-44.312
-0.990,-4.000,-3.980,-83.130,-36.499,16.235
-1.131,-4.000,-4.000,-45.349,-93.445,97.656
-1.438,-4.000,-4.000,-21.240,-157.043,151.123
-1.812,-3.306,-3.253,-4.944,-224.792,193.542
-2.172,-2.610,-2.120,8.606,-282.410,223.938
-2.428,-1.852,-0.821,32.166,-329.773,246.521
-2.521,-1.228,0.563,60.181,-368.591,260.010
-2.395,-0.630,2.295,68.848,-417.786,268.433
-2.079,-0.164,3.954,63.965,-414.734,268.921
-1.833,0.169,4.000,57.739,-353.271,262.939
-1.358,0.494,4.000,66.406,-301.941,259.338
-0.923,0.749,4.000,67.261,-241.516,253.540
-0.535,1.201,4.000,53.223,-164.124,245.728
-0.191,1.809,4.000,30.457,-82.764,238.403
0.172,2.140,4.000,26.978,-13.855,225.952
0.438,2.294,3.693,20.142,34.119,201.477
0.638,2.422,2.634,0.793,61.584,176.270
0.898,2.586,1.775,-8.423,77.148,152.527
0.919,2.756,1.013,-18.616,95.215,128.601
1.008,3.271,1.011,-2.747,80.505,108.154
1.000,3.452,1.052,24.963,55.176,81.238
1.063,3.365,1.067,27.710,52.551,42.847
0.969,3.189,0.683,26.367,55.725,6.348
0.876,2.914,0.748,33.020,45.471,-25.574
0.761,2.441,0.806,30.396,39.124,-54.626
0.574,1.975,1.213,15.686,33.203,-80.872
0.410,1.467,1.469,6.653,33.264,-99.365
0.283,0.878,1.486,1.160,42.114,-112.976
0.193,0.275,1.336,-5.066,50.903,-119.995
0.117,-0.248,1.074,-6.287,57.373,-119.019
0.089,-0.689,0.763,-7.446,61.340,-112.671
0.090,-0.959,0.504,-7.080,59.753,-101.135
0.133,-1.180,0.300,-7.751,54.382,-87.036
0.159,-1.234,0.281,-8.118,45.654,-71.106
0.162,-1.229,0.316,-9.216,37.048,-54.199
0.197,-1.143,0.332,-12.939,31.189,-38.818
0.244,-0.925,0.396,-15.625,25.391,-24.170
0.284,-0.635,0.491,-19.531,19.958,-12.634
0.322,-0.358,0.563,-22.034,16.541,-4.944
0.364,-0.166,0.666,-20.325,13.123,-0.610
0.388,0.048,0.829,-18.250,10.132,1.587
0.407,0.250,0.993,-16.357,9.460,1.953
0.436,0.391,1.062,-14.587,11.719,-0.793
0.471,0.429,0.994,-12.573,16.357,-4.822
0.507,0.422,0.797,-9.766,20.081,-9.216
0.535,0.332,0.617,-5.310,20.203,-13.916
0.552,0.185,0.472,-1.587,17.334,-18.127
